code,name,year,month,temp_min
PAN.19113,Veraguas,1950,02,106.69
PAN.1912,Chiriquí,1950,02,144.1
PAN.1913,Coclé,1950,02,99.0
PAN.1914,Colón,1950,02,200.17
PAN.1915,Darién,1950,02,165.11
PAN.1916,Emberá,1950,02,181.71
PAN.1917,Herrera,1950,02,30.42
PAN.1918,Kuna Yala,1950,02,156.43
PAN.1919,Los Santos,1950,02,35.21
SLV.751184,Ahuachapan,1950,02,2.08
SLV.751185,Cabanas,1950,02,0.87
SLV.751186,Chalatenango,1950,02,2.7
SLV.751187,Cuscatlan,1950,02,1.13
SLV.751188,La Libertad,1950,02,1.57
SLV.751189,La Paz,1950,02,0.76
SLV.751190,La Union,1950,02,0.51
SLV.751191,Morazan,1950,02,0.99
SLV.751192,San Miguel,1950,02,0.35
SLV.751193,San Salvador,1950,02,1.39
SLV.751194,San Vicente,1950,02,0.72
SLV.751195,Santa Ana,1950,02,2.54
SLV.751196,Sonsonate,1950,02,2.54
SLV.751197,Usulutan,1950,02,0.36
BLZ.28603,Belize,1950,03,46.66
BLZ.28604,Cayo,1950,03,47.83
BLZ.28605,Corozal,1950,03,41.14
BLZ.28606,Orange Walk,1950,03,41.66
BLZ.28607,Stann Creek,1950,03,75.64
BLZ.28608,Toledo,1950,03,59.63
CRI.61981,Alajuela,1950,03,89.93
CRI.61982,Cartago,1950,03,197.16
CRI.61983,Guanacaste,1950,03,53.25
CRI.61984,Heredia,1950,03,132.8
CRI.61985,Limon,1950,03,190.28
CRI.61986,Puntarenas,1950,03,254.78
CRI.61987,San Jose,1950,03,313.84
GTM.10364821,Guatemala,1950,03,28.29
GTM.10364822,El Progreso,1950,03,30.76
GTM.10364823,Sacatepéquez,1950,03,43.86
GTM.10364824,Chimaltenango,1950,03,58.08
GTM.10364825,Escuintla,1950,03,38.26
GTM.10364826,Santa Rosa,1950,03,36.03
GTM.10364827,Sololá,1950,03,105.47
GTM.10364828,Totonicapán,1950,03,60.29
GTM.10364829,Quetzaltenango,1950,03,127.58
GTM.10364830,Suchitepéquez,1950,03,72.83
GTM.10364831,Retalhuleu,1950,03,61.01
GTM.10364832,San Marcos,1950,03,112.15
GTM.10364833,Huehuetenango,1950,03,65.01
GTM.10364834,Quiché,1950,03,90.84
GTM.10364835,Baja Verapaz,1950,03,69.23
GTM.10364836,Alta Verapaz,1950,03,142.55
GTM.10364837,Petén,1950,03,41.91
GTM.10364838,Izabal,1950,03,109.26
GTM.10364839,Zacapa,1950,03,69.82
GTM.10364840,Chiquimula,1950,03,36.82
GTM.10364841,Jalapa,1950,03,23.07
GTM.10364842,Jutiapa,1950,03,17.5
HND.1111420,Atlantida,1950,03,35.72
HND.1111421,Choluteca,1950,03,14.03
HND.1111422,Colon,1950,03,33.12
HND.1111423,Comayagua,1950,03,39.94
HND.1111424,Copan,1950,03,77.23
HND.1111425,Cortes,1950,03,46.27
HND.1111426,Francisco Morazan,1950,03,17.47
HND.1111427,Gracias A Dios,1950,03,50.83
HND.1111428,Intibuca,1950,03,44.64
HND.1111429,Islas De Bahia,1950,03,18.96
HND.1111430,La Paz,1950,03,36.63
HND.1111431,Lempira,1950,03,42.2
HND.1111432,Name Unknown,1950,03,17.61
HND.1111433,Ocotepeque,1950,03,64.49
HND.1111434,Olancho,1950,03,25.79
HND.1111435,Paraiso,1950,03,15.28
HND.1111436,Santa Barbara,1950,03,61.02
HND.1111437,Valle,1950,03,13.96
HND.1111438,Yoro,1950,03,29.11
NIC.1801,Boaco,1950,03,20.64
NIC.18010,Managua,1950,03,2.98
NIC.18011,Masaya,1950,03,4.77
NIC.18012,Matagalpa,1950,03,21.37
NIC.18013,Nueva Segovia,1950,03,19.51
NIC.18014,Región Autónoma del Caribe Norte,1950,03,46.62
NIC.18015,Región Autónoma del Caribe Sur,1950,03,64.49
NIC.18016,Río San Juan,1950,03,70.34
NIC.18017,Rivas,1950,03,18.44
NIC.1802,Carazo,1950,03,2.96
NIC.1803,Chinandega,1950,03,8.71
NIC.1804,Chontales,1950,03,23.36
NIC.1805,Estelí,1950,03,6.88
NIC.1806,Granada,1950,03,5.89
NIC.1807,Jinotega,1950,03,36.13
NIC.1808,León,1950,03,4.32
NIC.1809,Madriz,1950,03,10.0
PAN.1911,Bocas del Toro,1950,03,246.28
PAN.19110,Ngäbe Buglé,1950,03,226.47
PAN.19111,Panamá,1950,03,85.94
PAN.19112,Panamá Oeste,1950,03,66.32
PAN.19113,Veraguas,1950,03,156.98
PAN.1912,Chiriquí,1950,03,206.04
PAN.1913,Coclé,1950,03,76.6
PAN.1914,Colón,1950,03,131.03
PAN.1915,Darién,1950,03,169.7
PAN.1916,Emberá,1950,03,192.38
PAN.1917,Herrera,1950,03,104.81
PAN.1918,Kuna Yala,1950,03,110.82
PAN.1919,Los Santos,1950,03,93.61
SLV.751184,Ahuachapan,1950,03,29.91
SLV.751185,Cabanas,1950,03,27.36
SLV.751186,Chalatenango,1950,03,23.1
SLV.751187,Cuscatlan,1950,03,31.07
SLV.751188,La Libertad,1950,03,30.71
SLV.751189,La Paz,1950,03,35.44
SLV.751190,La Union,1950,03,15.3
SLV.751191,Morazan,1950,03,37.5
SLV.751192,San Miguel,1950,03,25.63
SLV.751193,San Salvador,1950,03,29.78
SLV.751194,San Vicente,1950,03,36.31
SLV.751195,Santa Ana,1950,03,19.13
SLV.751196,Sonsonate,1950,03,40.6
SLV.751197,Usulutan,1950,03,22.94
BLZ.28603,Belize,1950,04,29.54
BLZ.28604,Cayo,1950,04,34.46
BLZ.28605,Corozal,1950,04,23.0
BLZ.28606,Orange Walk,1950,04,26.02
BLZ.28607,Stann Creek,1950,04,49.4
BLZ.28608,Toledo,1950,04,56.11
CRI.61981,Alajuela,1950,04,58.39
CRI.61982,Cartago,1950,04,125.05
CRI.61983,Guanacaste,1950,04,19.66
CRI.61984,Heredia,1950,04,114.48
CRI.61985,Limon,1950,04,135.41
CRI.61986,Puntarenas,1950,04,148.18
CRI.61987,San Jose,1950,04,156.62
GTM.10364821,Guatemala,1950,04,26.3
GTM.10364822,El Progreso,1950,04,27.17
GTM.10364823,Sacatepéquez,1950,04,49.4
GTM.10364824,Chimaltenango,1950,04,58.95
GTM.10364825,Escuintla,1950,04,42.22
GTM.10364826,Santa Rosa,1950,04,38.11
GTM.10364827,Sololá,1950,04,147.44
GTM.10364828,Totonicapán,1950,04,54.35
GTM.10364829,Quetzaltenango,1950,04,189.04
GTM.10364830,Suchitepéquez,1950,04,87.66
GTM.10364831,Retalhuleu,1950,04,92.48
GTM.10364832,San Marcos,1950,04,131.85
GTM.10364833,Huehuetenango,1950,04,54.84
GTM.10364834,Quiché,1950,04,72.72
GTM.10364835,Baja Verapaz,1950,04,56.43
GTM.10364836,Alta Verapaz,1950,04,95.95
GTM.10364837,Petén,1950,04,33.61
GTM.10364838,Izabal,1950,04,88.01
GTM.10364839,Zacapa,1950,04,56.18
GTM.10364840,Chiquimula,1950,04,27.31
GTM.10364841,Jalapa,1950,04,17.41
GTM.10364842,Jutiapa,1950,04,14.26
HND.1111420,Atlantida,1950,04,64.85
