code,name,year,month,temp_max,temp_min
SLV.751185,Cabanas,1950,02,31.97,18.65
SLV.751186,Chalatenango,1950,02,29.38,17.61
SLV.751187,Cuscatlan,1950,02,31.45,18.39
SLV.751188,La Libertad,1950,02,29.93,19.46
SLV.751189,La Paz,1950,02,29.45,21.21
SLV.751190,La Union,1950,02,31.68,20.85
SLV.751191,Morazan,1950,02,31.39,18.12
SLV.751192,San Miguel,1950,02,32.67,20.12
SLV.751193,San Salvador,1950,02,30.91,18.97
SLV.751194,San Vicente,1950,02,32.46,19.35
SLV.751195,Santa Ana,1950,02,28.53,17.01
SLV.751196,Sonsonate,1950,02,28.9,19.7
SLV.751197,Usulutan,1950,02,32.08,21.14
BLZ.28603,Belize,1950,03,27.56,23.14
BLZ.28604,Cayo,1950,03,27.59,19.96
BLZ.28605,Corozal,1950,03,28.15,22.72
BLZ.28606,Orange Walk,1950,03,29.11,21.18
BLZ.28607,Stann Creek,1950,03,26.41,21.97
BLZ.28608,Toledo,1950,03,27.61,21.01
CRI.61981,Alajuela,1950,03,28.02,19.66
CRI.61982,Cartago,1950,03,21.99,14.14
CRI.61983,Guanacaste,1950,03,31.63,22.15
CRI.61984,Heredia,1950,03,26.93,19.08
CRI.61985,Limon,1950,03,25.43,18.63
CRI.61986,Puntarenas,1950,03,26.74,20.63
CRI.61987,San Jose,1950,03,24.2,17.27
GTM.10364821,Guatemala,1950,03,25.59,13.89
GTM.10364822,El Progreso,1950,03,25.76,14.61
GTM.10364823,Sacatepéquez,1950,03,24.22,13.17
GTM.10364824,Chimaltenango,1950,03,23.0,12.76
GTM.10364825,Escuintla,1950,03,28.68,20.84
GTM.10364826,Santa Rosa,1950,03,27.71,18.16
GTM.10364827,Sololá,1950,03,20.82,12.85
GTM.10364828,Totonicapán,1950,03,20.23,9.12
GTM.10364829,Quetzaltenango,1950,03,23.14,14.53
GTM.10364830,Suchitepéquez,1950,03,28.82,20.46
GTM.10364831,Retalhuleu,1950,03,30.08,22.24
GTM.10364832,San Marcos,1950,03,22.57,12.98
GTM.10364833,Huehuetenango,1950,03,22.2,11.12
GTM.10364834,Quiché,1950,03,23.28,13.21
GTM.10364835,Baja Verapaz,1950,03,24.48,14.04
GTM.10364836,Alta Verapaz,1950,03,26.07,17.61
GTM.10364837,Petén,1950,03,30.59,20.51
GTM.10364838,Izabal,1950,03,27.41,20.62
GTM.10364839,Zacapa,1950,03,26.6,17.7
GTM.10364840,Chiquimula,1950,03,26.12,16.65
GTM.10364841,Jalapa,1950,03,25.77,14.66
GTM.10364842,Jutiapa,1950,03,28.24,17.54
